area_id,time,transp,emissions,STD
AB+SK,2010,ERA5-FP,3.6473061958,0.3909983549
AB+SK,2010,GDASD-HS,4.0483146357,0.4096273111
AB+SK,2010,GEM-FP,4.0839123822,0.3935195136
AB+SK,2010,WRFaN-HS,4.0337359281,0.7043659787
AB+SK,2011,ERA5-FP,4.0576409771,0.5028080614
AB+SK,2011,GDASD-HS,3.8346487453,0.6458834315
AB+SK,2011,GEM-FP,3.844550541,0.529386896
AB+SK,2011,WRFaN-HS,3.8868413003,0.5039897034
AB+SK,2012,ERA5-FP,3.6698142302,0.5876658461
AB+SK,2012,GDASD-HS,3.5200505124,0.5141025145
AB+SK,2012,GEM-FP,3.9030879897,0.7089037125
AB+SK,2012,WRFaN-HS,3.5787258037,1.1237038381
AB+SK,2013,ERA5-FP,3.6431995839,0.7285546223
AB+SK,2013,GDASD-HS,3.9573424831,0.9227501149
AB+SK,2013,GEM-FP,4.0550737834,0.5535634533
AB+SK,2013,WRFaN-HS,4.3744244274,1.1340040383
AB+SK,2014,ERA5-FP,4.1598099517,0.8641614746
AB+SK,2014,GDASD-HS,3.9089958655,0.8050976627
AB+SK,2014,GEM-FP,4.2434652372,0.7822180038
AB+SK,2014,WRFaN-HS,4.0088866684,0.5734248757
AB+SK,2015,ERA5-FP,3.4763903301,0.890414655
AB+SK,2015,GDASD-HS,3.6092263354,0.3563379682
AB+SK,2015,GEM-FP,3.6036876472,0.6864537591
AB+SK,2015,WRFaN-HS,3.9795619858,0.5673815911
AB+SK,2016,ERA5-FP,2.9116640567,0.4513726703
AB+SK,2016,GDASD-HS,2.9102410095,0.5050701712
AB+SK,2016,GEM-FP,3.0886372167,0.5435567817
AB+SK,2016,WRFaN-HS,2.8898272763,0.5731167928
AB+SK,2017,ERA5-FP,3.0757595463,0.6413504972
AB+SK,2017,GDASD-HS,3.2495811292,0.6945148889
AB+SK,2017,GEM-FP,3.3365899546,0.514806769
AB+SK,2017,WRFaN-HS,3.2541557288,0.7835302423
AB+SK,2018,ERA5-FP,2.8283449034,0.4658276592
AB+SK,2018,GDASD-HS,3.0705930984,0.4735467805
AB+SK,2018,GEM-FP,3.4992176282,0.4931978826
AB+SK,2018,WRFaN-HS,2.8946356853,0.6914705411
AB+SK,2019,ERA5-FP,3.5075215683,0.4449667412
AB+SK,2019,GDASD-HS,4.0652024278,0.3297196731
AB+SK,2019,GEM-FP,4.521204548,0.6423253336
AB+SK,2019,WRFaN-HS,3.7909875804,0.2413720274
AB+SK,2020,ERA5-FP,3.374980481,0.2212302053
AB+SK,2020,GDASD-HS,3.2867975525,0.2762741766
AB+SK,2020,GEM-FP,4.234695625,0.288562656
AB+SK,2020,WRFaN-HS,3.4574383455,0.5991452643
AB+SK,2021,ERA5-FP,3.2468685569,0.5420603532
AB+SK,2021,GDASD-HS,3.3993079633,0.4670137149
AB+SK,2021,GEM-FP,4.1477748339,0.92494985
AB+SK,2021,WRFaN-HS,2.9308916641,0.6696617708
AB+SK,2022,GDASD-HS,3.0193652666,0.2342050054
AB+SK,2022,GEM-FP,3.2604716179,0.4934598931
AB+SK,2022,WRFaN-HS,3.1883422647,0.0923244067
